2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | setup_professional_logging:66 | ================================================================================
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | setup_professional_logging:67 | 🚀 INICIANDO EXPERIMENTO: petfinder - enhanced_v5
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | setup_professional_logging:68 | 📁 Log file: ../logs/petfinder/enhanced_v5_20250820_155655.log
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | setup_professional_logging:69 | 🕐 Timestamp: 2025-08-20 15:56:55
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | setup_professional_logging:70 | ================================================================================
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:78 | 📊 Configuración del experimento:
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:79 |    ├── Proyecto: petfinder
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:80 |    ├── Experimento: enhanced_v5
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:81 |    └── Ciclos de entrenamiento: 2
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:15 | 📂 Experimento MLflow existente: petfinder_enhanced_v5
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:19 | 🔬 MLFLOW CONFIGURADO
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:20 |    ├── Tracking URI: file:///Users/alejandro/Documents/Austral/GitHub/UA_MDM_Labo2/work/petfinder/mlruns
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:21 |    ├── Experimento: petfinder_enhanced_v5
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:28 | 🔍 ANÁLISIS DEL SISTEMA DE CÓMPUTO
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:29 |    ├── PyTorch version: 2.8.0
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:30 |    ├── CUDA disponible: False
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:31 |    ├── MPS disponible: True
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:32 |    └── Núcleos CPU: 10
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:2 | 🧠 CONFIGURACIÓN DEL MODELO
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:3 |    ├── Cargando ResNet50 preentrenado...
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:6 |    ├── ✅ ResNet50 cargado exitosamente
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:11 |    ├── Capa final modificada: 2048 → 5 clases
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:16 |    ├── Detectando dispositivo óptimo...
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:21 |    ├── 🚀 Dispositivo seleccionado: MPS (Apple Silicon GPU)
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:32 |    └── Dispositivo final: mps
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:34 |    ├── Transfiriendo modelo al dispositivo...
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:36 |    ├── ✅ Modelo transferido exitosamente
